"Marka","Model","Araç Paketi","Motor Gücü","Motor Hacmi","Fiyat"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","900000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","935000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","995000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","988000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","967500"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1050000"
"Hyundai","Bayon","Jump","200 hp'e kadar","1600 cm³’e kadar","775000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","932000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","975000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","957500"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","998500"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1120000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","930000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","980000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","960000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","964000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","1050000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1180000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","985000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","940000"
"Hyundai","Bayon","Jump","200 hp'e kadar","1600 cm³’e kadar","774500"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","958000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","915000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","985000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","935000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","905000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","940000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","945000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","927000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","933500"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","965000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1135000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","950000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","995000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","927750"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1058500"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1098500"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1130000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","996000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","952000"
"Hyundai","Bayon","Jump","200 hp'e kadar","1600 cm³’e kadar","892500"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","970000"
"Hyundai","Bayon","Jump","200 hp'e kadar","1600 cm³’e kadar","820000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1015000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","999999"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","970000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1020000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","920000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","971000"
"Hyundai","Bayon","Jump","200 hp'e kadar","1600 cm³’e kadar","891500"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","938000"
"Hyundai","Bayon","Jump","200 hp'e kadar","1600 cm³’e kadar","897500"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","960000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","925500"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","967500"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","955000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","995000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1055000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","995000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","957500"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1020000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1060000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","980000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","1010000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","1010000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","939000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1075000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","965000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","955000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","1039000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","980000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1045000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","970000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","998000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","975000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","949000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","985000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","905000"
"Hyundai","Bayon","Jump","200 hp'e kadar","1600 cm³’e kadar","927500"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1050000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","980000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","955000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","978058"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","945000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","1007000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","999000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1145000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","975000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1000000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1005000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1069000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","929000"
"Hyundai","Bayon","Jump","200 hp'e kadar","1600 cm³’e kadar","871750"
"Hyundai","Bayon","Jump","200 hp'e kadar","1600 cm³’e kadar","869500"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","925000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","920000"
"Hyundai","Bayon","Jump","200 hp'e kadar","1600 cm³’e kadar","895000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1000000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","905000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1225000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","960000"
"Hyundai","Bayon","Jump","200 hp'e kadar","1600 cm³’e kadar","905000"
"Hyundai","Bayon","Jump","200 hp'e kadar","1600 cm³’e kadar","900000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1090000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1050000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","942500"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1025000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1000000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1049000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1010000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","948000"
"Hyundai","Bayon","Jump","200 hp'e kadar","1600 cm³’e kadar","795000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","910000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","901500"
"Hyundai","Bayon","Jump","200 hp'e kadar","1600 cm³’e kadar","815000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","899950"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","955000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","885000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","997500"
"Hyundai","Bayon","Jump","200 hp'e kadar","1600 cm³’e kadar","895000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","925000"
"Hyundai","Bayon","Jump","200 hp'e kadar","1600 cm³’e kadar","817000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","930000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","987500"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1025000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","979000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","1050000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","1095000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","960000"
"Hyundai","Bayon","Jump","200 hp'e kadar","1600 cm³’e kadar","838000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1055000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","1010000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1234000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","1027000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","929000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1000000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","997000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","929000"
"Hyundai","Bayon","Jump","200 hp'e kadar","1600 cm³’e kadar","895000"
"Hyundai","Bayon","Jump","200 hp'e kadar","1600 cm³’e kadar","868000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","945000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","973000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","1090000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1050000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","982500"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","1050000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","942000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1015000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","1037000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1060000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","975000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","925000"
"Hyundai","Bayon","Style Design","200 hp'e kadar","1600 cm³’e kadar","999750"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","935000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","968000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","948000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","830000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","899000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","995000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","958750"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","999500"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","950000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","950000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","1005000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","940000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","1095000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","960000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","1035000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1105000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","985000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","1000000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","892500"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","998950"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","995000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","959000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","1065000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","989500"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1025000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1019000"
"Hyundai","Bayon","Jump","200 hp'e kadar","1600 cm³’e kadar","896900"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","969000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1000000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","951000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","923000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","965000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","965000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","955000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1000000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","985000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","965000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","969500"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","1050000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","1205000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","947500"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","925000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","1040000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","930000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1190000"
"Hyundai","Bayon","Jump","200 hp'e kadar","1600 cm³’e kadar","930000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","975000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1025000"
"Hyundai","Bayon","Jump","200 hp'e kadar","1600 cm³’e kadar","890000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1000000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","950000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","1025000"
"Hyundai","Bayon","Jump","200 hp'e kadar","1600 cm³’e kadar","885000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","960000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","995000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","960000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","980000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","917000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","855950"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","912000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","1035000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","929000"
"Hyundai","Bayon","Jump","200 hp'e kadar","1600 cm³’e kadar","805000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","1075000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","1020000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","995000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","1100000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1110000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","1010000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","1034000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","999000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","745000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","1049750"
"Hyundai","Bayon","Jump","200 hp'e kadar","1600 cm³’e kadar","835000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","907000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","725000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","945000"
"Hyundai","Bayon","Jump","200 hp'e kadar","1600 cm³’e kadar","760000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","790000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","935000"
"Hyundai","Bayon","Elite","200 hp'e kadar","1600 cm³’e kadar","980000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","975000"
"Hyundai","Bayon","Jump","200 hp'e kadar","1600 cm³’e kadar","929000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","940000"
"Hyundai","Bayon","Style","200 hp'e kadar","1600 cm³’e kadar","1025000"
