"Marka","Model","Motor","Araç Paketi","Model Yıl","Yakıt","Vites","Araç Durumu","Araç Kilometresi","Kasa Tipi","Motor Gücü","Motor Hacmi","Çekiş","Renk","Garanti","Ağır Hasar Kayıtlı","Plaka / Uyruk","Kimden","Takas","Fiyat"
"Hyundai","Bayon","1.4 MPI","Style","2021","Benzin & LPG","Otomatik","İkinci El","52000","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Yeşil","Evet","Hayır","TR","Galeriden","Evet","900000"
"Hyundai","Bayon","1.4 MPI","Style","2021","Benzin","Otomatik","İkinci El","14000","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Yeşil","Evet","Hayır","TR","Sahibinden","Evet","935000"
"Hyundai","Bayon","1.4 MPI","Style","2021","Benzin","Otomatik","İkinci El","23470","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Yeşil","Evet","Hayır","TR","Galeriden","Hayır","995000"
"Hyundai","Bayon","1.4 MPI","Elite","2023","Benzin","Otomatik","İkinci El","1001","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Beyaz","Evet","Hayır","TR","Sahibinden","Evet","988000"
"Hyundai","Bayon","1.4 MPI","Style","2023","Benzin","Otomatik","İkinci El","1001","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Beyaz","Evet","Hayır","TR","Sahibinden","Hayır","967500"
"Hyundai","Bayon","1.4 MPI","Elite","2023","Benzin","Otomatik","İkinci El","3500","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Füme","Evet","Hayır","TR","Sahibinden","Evet","1050000"
"Hyundai","Bayon","1.4 MPI","Jump","2022","Benzin","Manuel","İkinci El","26000","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Beyaz","Evet","Hayır","TR","Galeriden","Hayır","775000"
"Hyundai","Bayon","1.4 MPI","Style","2023","Benzin","Otomatik","İkinci El","1001","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Beyaz","Evet","Hayır","TR","Sahibinden","Hayır","932000"
"Hyundai","Bayon","1.4 MPI","Elite","2022","Benzin & LPG","Otomatik","İkinci El","21615","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Gri","Evet","Hayır","TR","Sahibinden","Hayır","975000"
"Hyundai","Bayon","1.4 MPI","Elite","2022","Benzin","Otomatik","İkinci El","6500","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Kırmızı","Evet","Hayır","TR","Galeriden","Evet","957500"
"Hyundai","Bayon","1.4 MPI","Elite","2023","Benzin","Otomatik","İkinci El","1001","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Beyaz","Hayır","Hayır","TR","Sahibinden","Hayır","998500"
